,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,ride_id,position,sim_schedule
97,97,1679761182,1410536808,2021-11-01 10:15:47,,0 days 00:04:41,2021-11-01 10:20:28,,False,,2816,7.5,False,97,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.679761e+09  NaN    97.0     o
2  1.410537e+09  NaN    97.0     d"
98,98,7399789770,1668136757,2021-11-01 10:16:30,,0 days 00:05:30,2021-11-01 10:22:00,,False,,3306,7.5,False,98,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  7.399790e+09  NaN    98.0     o
2  1.668137e+09  NaN    98.0     d"
99,99,44837714,1584562931,2021-11-01 10:17:58,,0 days 00:05:43,2021-11-01 10:23:41,,False,,3433,7.5,False,99,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.483771e+07  NaN    99.0     o
2  1.584563e+09  NaN    99.0     d"
100,100,44824163,484705817,2021-11-01 10:18:21,,0 days 00:04:34,2021-11-01 10:22:55,,False,,2742,7.5,False,100,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1   44824163.0  NaN   100.0     o
2  484705817.0  NaN   100.0     d"
101,101,3669180604,1402734618,2021-11-01 10:18:30,,0 days 00:07:52,2021-11-01 10:26:22,,False,,4721,7.5,False,101,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.669181e+09  NaN   101.0     o
2  1.402735e+09  NaN   101.0     d"
102,102,1515837165,3669167311,2021-11-01 10:18:52,,0 days 00:07:44,2021-11-01 10:26:36,,False,,4647,7.5,False,102,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.515837e+09  NaN   102.0     o
2  3.669167e+09  NaN   102.0     d"
103,103,44781481,549099463,2021-11-01 10:19:49,,0 days 00:06:07,2021-11-01 10:25:56,,False,,3676,7.5,False,103,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1   44781481.0  NaN   103.0     o
2  549099463.0  NaN   103.0     d"
104,104,2560427063,4801236440,2021-11-01 10:24:55,,0 days 00:04:42,2021-11-01 10:29:37,,False,,2826,7.5,False,104,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.560427e+09  NaN   104.0     o
2  4.801236e+09  NaN   104.0     d"
105,105,44852052,4407956433,2021-11-01 10:25:07,,0 days 00:05:25,2021-11-01 10:30:32,,False,,3258,7.5,False,105,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.485205e+07  NaN   105.0     o
2  4.407956e+09  NaN   105.0     d"
106,106,889276759,44763561,2021-11-01 10:25:24,,0 days 00:07:54,2021-11-01 10:33:18,,False,,4742,7.5,False,106,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  889276759.0  NaN   106.0     o
2   44763561.0  NaN   106.0     d"
107,107,4846026465,1421472376,2021-11-01 10:25:44,,0 days 00:05:08,2021-11-01 10:30:52,,False,,3084,7.5,False,107,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.846026e+09  NaN   107.0     o
2  1.421472e+09  NaN   107.0     d"
108,108,3773543334,44847003,2021-11-01 10:26:21,,0 days 00:04:12,2021-11-01 10:30:33,,False,,2521,7.5,False,108,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.773543e+09  NaN   108.0     o
2  4.484700e+07  NaN   108.0     d"
109,109,44846574,1570985012,2021-11-01 10:27:06,,0 days 00:03:31,2021-11-01 10:30:37,,False,,2114,7.5,False,109,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.484657e+07  NaN   109.0     o
2  1.570985e+09  NaN   109.0     d"
110,110,5380526225,44753489,2021-11-01 10:29:43,,0 days 00:05:26,2021-11-01 10:35:09,,False,,3262,7.5,False,110,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.380526e+09  NaN   110.0     o
2  4.475349e+07  NaN   110.0     d"
111,111,44825524,565046997,2021-11-01 10:30:16,,0 days 00:03:31,2021-11-01 10:33:47,,False,,2113,7.5,False,111,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1   44825524.0  NaN   111.0     o
2  565046997.0  NaN   111.0     d"
112,112,44796534,2367860705,2021-11-01 10:30:36,,0 days 00:03:45,2021-11-01 10:34:21,,False,,2250,7.5,False,112,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.479653e+07  NaN   112.0     o
2  2.367861e+09  NaN   112.0     d"
113,113,5264539952,5124546103,2021-11-01 10:32:33,,0 days 00:03:33,2021-11-01 10:36:06,,False,,2134,7.5,False,113,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.264540e+09  NaN   113.0     o
2  5.124546e+09  NaN   113.0     d"
114,114,44850248,1679761050,2021-11-01 10:34:19,,0 days 00:05:40,2021-11-01 10:39:59,,False,,3403,7.5,False,114,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.485025e+07  NaN   114.0     o
2  1.679761e+09  NaN   114.0     d"
115,115,1569974324,645582410,2021-11-01 10:34:23,,0 days 00:04:38,2021-11-01 10:39:01,,False,,2780,7.5,False,115,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.569974e+09  NaN   115.0     o
2  6.455824e+08  NaN   115.0     d"
116,116,5353328924,260123525,2021-11-01 10:35:46,,0 days 00:06:22,2021-11-01 10:42:08,,False,,3824,7.5,False,116,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.353329e+09  NaN   116.0     o
2  2.601235e+08  NaN   116.0     d"
117,117,4159110115,44860334,2021-11-01 10:36:18,,0 days 00:03:44,2021-11-01 10:40:02,,False,,2242,7.5,False,117,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.159110e+09  NaN   117.0     o
2  4.486033e+07  NaN   117.0     d"
