,pos,event,platforms,VoT,U_bike,U_car,U_pt,ASC_rs,mode_choice,prob_rs,informed,expected_wait,mode_day
52,1433962992,,100,21.34661198967971,-1.708630260569497,-3.3256715950329028,-99999,-2.2497,day-to-day,0.10274313715581532,True,0,bike
53,3905428979,,100,16.938893340322352,-1.3108821346149466,-3.0026670335160954,-99999,-2.2497,day-to-day,0.07983039497733227,True,0,bike
54,1584013904,,100,10.412676520212086,-0.6861028255573524,-2.4899945991173915,-99999,-2.2497,day-to-day,0.05712627384923502,True,0,bike
55,1608998333,,100,12.543240397558321,-0.879183593332413,-2.6567966757635775,-99999,-2.2497,day-to-day,0.06307179294645388,True,0,bike
56,1402734947,,100,10.926882652191269,-0.7079041631125738,-2.517662072032131,-99999,-2.2497,day-to-day,0.05877531708668915,True,0,bike
57,4407940597,,100,48.4790543791325,-2.433271470520614,-4.802968113156755,-99999,-2.2497,day-to-day,0.2362498642957575,True,0,bike
58,44820007,,100,17.72705823601318,-1.6462528081844239,-3.1672864520279838,-99999,-2.2497,day-to-day,0.08532769357216838,True,0,car
59,565046992,,100,14.098280038177753,-0.9850624910230776,-2.759697225563915,-99999,-2.2497,day-to-day,0.06839092712790218,True,0,bike
60,643586572,,100,11.779374732518885,-0.8959654185436808,-2.641109236181072,-99999,-2.2497,day-to-day,0.05985302482903046,True,0,bike
61,44763122,,100,17.89029583150564,-1.82755335350774,-3.245641036160114,-99999,-2.2497,day-to-day,0.08733811156543644,True,0,bike
62,523511908,,100,8.239404148384619,-0.5137543133322756,-2.3274605761407323,-99999,-2.2497,day-to-day,0.05205689109726688,True,0,bike
63,1679761155,,100,20.997560649666234,-1.4624800992492533,-3.220506571658805,-99999,-2.2497,day-to-day,0.09710829409088931,True,0,bike
64,1402734957,,100,5.968962792042263,-0.2969558989041026,-2.118244138611863,-99999,-2.2497,day-to-day,0.050296202089989445,True,0,bike
65,1679761088,,100,11.420046168562981,-0.7752054228622425,-2.568436867917524,-99999,-2.2497,day-to-day,0.05978284082731322,True,0,bike
66,1530303711,,100,8.69333033833846,-0.39981592151611733,-2.269857247591051,-99999,-2.2497,day-to-day,0.056856544485067606,True,0,car
67,1668136745,,100,11.451410668667826,-0.9950894157383386,-2.6825340759649734,-99999,-2.2497,day-to-day,0.057289159273606866,True,0,bike
68,2804814348,,100,22.435815297925295,-1.3543005974337639,-3.2417620512966554,-99999,-2.2497,day-to-day,0.09992928237409153,True,0,bike
69,1575265163,,100,15.632124961995801,-1.019648773215515,-2.8312945192930137,-99999,-2.2497,day-to-day,0.0738790967241259,True,0,bike
70,663333161,,100,7.488266884641313,-0.33445928025423505,-2.188061218729146,-99999,-2.2497,day-to-day,0.054740516211225054,True,0,bike
71,44820020,,100,31.1084611422567,-1.9328378206820584,-3.8240659020855006,-99999,-2.2497,day-to-day,0.14756978468603993,True,0,bike
72,44831875,,100,12.931797652617984,-0.611903927593766,-2.5419721809510145,-99999,-2.2497,day-to-day,0.0662647866018528,True,0,bike
73,285743579,,100,14.096656196548546,-1.1594969610201065,-2.8390739477008635,-99999,-2.2497,day-to-day,0.06784923388701714,True,0,rs
74,3720505062,,100,7.0238866720347595,-0.32769553052451944,-2.1692293588342153,-99999,-2.2497,day-to-day,0.05328205936867125,True,0,bike
