,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
432,432,1402771561,44841575,2023-06-24 14:53:42,,0 days 00:06:59,2023-06-24 15:00:41,,False,,4198,7.5,False,100,432,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.402772e+09  NaN   432.0     o
2  4.484158e+07  NaN   432.0     d"
433,433,44854271,1410536974,2023-06-24 14:54:35,,0 days 00:05:44,2023-06-24 15:00:19,,False,,3443,7.5,False,100,433,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.485427e+07  NaN   433.0     o
2  1.410537e+09  NaN   433.0     d"
434,434,1015968754,3151169335,2023-06-24 14:54:38,,0 days 00:03:33,2023-06-24 14:58:11,,False,,2133,7.5,False,100,434,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.015969e+09  NaN   434.0     o
2  3.151169e+09  NaN   434.0     d"
435,435,1442999766,1608998223,2023-06-24 14:54:44,,0 days 00:08:01,2023-06-24 15:02:45,,False,,4817,7.5,False,100,435,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.443000e+09  NaN   435.0     o
2  1.608998e+09  NaN   435.0     d"
436,436,1402771499,2341955079,2023-06-24 14:55:25,,0 days 00:05:07,2023-06-24 15:00:32,,False,,3073,7.5,False,100,436,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.402771e+09  NaN   436.0     o
2  2.341955e+09  NaN   436.0     d"
437,437,1805100649,44768035,2023-06-24 14:56:23,,0 days 00:06:01,2023-06-24 15:02:24,,False,,3619,7.5,False,100,437,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.805101e+09  NaN   437.0     o
2  4.476804e+07  NaN   437.0     d"
438,438,8463975474,4862057242,2023-06-24 14:56:34,,0 days 00:06:34,2023-06-24 15:03:08,,False,,3947,7.5,False,100,438,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  8.463975e+09  NaN   438.0     o
2  4.862057e+09  NaN   438.0     d"
439,439,44817443,7098470110,2023-06-24 14:56:46,,0 days 00:05:27,2023-06-24 15:02:13,,False,,3273,7.5,False,100,439,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.481744e+07  NaN   439.0     o
2  7.098470e+09  NaN   439.0     d"
440,440,44805508,479577554,2023-06-24 14:57:19,,0 days 00:03:24,2023-06-24 15:00:43,,False,,2048,7.5,False,100,440,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1   44805508.0  NaN   440.0     o
2  479577554.0  NaN   440.0     d"
441,441,3452720268,1569647034,2023-06-24 14:57:50,,0 days 00:05:18,2023-06-24 15:03:08,,False,,3189,7.5,False,100,441,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.452720e+09  NaN   441.0     o
2  1.569647e+09  NaN   441.0     d"
